English,Svenska
A distinction,(här:) Ett skall
To float,Att flytta
To magnetize,Att göra något magnetiskt
A marker,En markeringspenna
North,Norr
A pair of scissors,en sax
To point,Att peka
A pool of water,En vattenpöl
To rotate,Att rotera/Att snurra runt
To rub,Att gnida
To sew,Att Sy
A sweing needle,En synål
South,Söder
A surface,En yta
Survival kit,Räddningsutrustning
Tool,Verktyg
Useful,Nyttig
Wax paper,Vaxpapper
About,"(här:) omkring, cirka"
Approximately,"(här:) ungefär"
Close to,"(här:) nära"
Distance,Avstånd
Exactly,Precis. Börjar med E
Fingertip,Fingertopp
Gymnastics,Gymnastik
Height,Höjd
Length,Längd
To measure,Att mäta
To multiply,Att multiplicera
Precise,Precis. Börjar med P
Pretty consistent,Nästa alltid samma
Pretty much,"(här:) ganska lika"
Proportion,"(storlek) i förhållande till. Börjar med P"
Ratio,"(storlek) i förhållande till. Börjar med R"
A shape,En form
Size,storlek
Thumb,Tumme
Toe,Tår
Twice,Dubbelt upp
Width,Vidd
Backwards,Baklänges
Below,Under
A changing room,Omklädningsrum
A crossbar,En tvärslå (över målet)
A field,(här:) Fotbollsplan (amerikansk fotboll)
Forwards,Anfallare
A goal line,En mållinje
Goalkeeper,Målvakt
To grab,"Att ta,gripa"
To hand out,Att dela ut
A net,Ett nät
Oval,Oval
A pitch,(här:) (Fotballs)plan
A post,(här:) Ett stolpe
A referee,En domare
A rule,En regel
Strictly forbidden,Strängt förbjudet
To tackle,Att tackla
A whistle,En visselpipa
Behaviour,Uppförande
A coachman,En kusk
Condition,Tillstånd
A criminal,En kriminell
A defeat,En förlust
Gold digging,Guldgrävning
Grew up,Växte upp
A guard,En vakt
Tomorrow,I morgon ("morrow")
On foot,Till fots
Poem,Dikt
Polite,Artig
Prison,Fängelse
A purse,"En portmonnä, börs"
Released,Frisläppt
To rob,Att råna
Rude,Ohövlig
Sentenced,(här:) Dömd till
Stagecoach,Diligens
Valuables,Värdesaker
Balcony,Balkong
Bees,Bin
Berries,Bär
To bloom,Att blomstra
A bumblebee,En humla
Certain,(här:) Vissa
A crown,En krona
Dandelion,Maskros
A distance,En sträcka
Endangered,Utrotningshotad
Gardening,Trädgårdsarbete
Greedy,Girig
Grownups,Vuxna
To harm,Att skada
A lawn,En gräsmatta
Life-cycle,Livslängd
To mow,Att klippa (gräsmatta)
Nectar,Nektar
A season,En årstid
A space,(här:) Ett område
Species,Arter
To spray,Att spraya
To survive,Att överleva
Weed,Ogräs
Ancient,"Ålderlig, gammal"
To cross,Att korsa
An elf,En alv
Elves,Alver
Fixed,(här:) Fäst
A four-leaf clover,En fyrklöver
A god,En gud
A godess,En gudinna
Greece,Grekland
A guard,En vakt
A human,En människa
Imagination,Fantasi
To laugh,Att skratta
A leprechaun,En leprechaun (en slags irländisk pyssling)
Messenger,Budbärare
Myth,Myt
Path,Stig
Pointy,Spetsig
A pot,En gryta
To refuse,Att neka
Serpent,Orm
Slippery,Halkigt
To slither,Att glida
Stomach,Mage
To tickle,Att kittla
Upside down,Upp och ned
Across,Tvärs över
Ad,e.Kr(efter år 0)
All across,Från hela
Area,Område
Barbarians,Barbarer
Bc,f.Kr(före år 0)
Be prepared for,Vara förberedd på
A border,En gräns (om länder)
A commander,En ledare
Customs,Tull
Emperor,Kejsare
Empire,Imperium (stort rike)
Engineer,Ingenjör
Gate,Port
To join,Att gå med i
Latrin,Utedass
A mason,En murare
A merchant,En handelsmän
Roman,Romersk
To rule,"Att styra, härska"
To store,Att lagra
Supplies,Lager (av något)
A traveller,En resande
A village,En by
A workshop,En verkstad
Adored,Beundrad
Bamboo,Bambu
A creature,En varelse
To develop,Att utveckla
Distinctive,Tydlig
Endangered,Utrotningshotad
Extinct,Utrotad
To feed,"Att föda, ge mat till"
A forest,En skog
Fuel,"Bränsle, hãr: ved"
Fur,Päls
Giant,Jätte
A habitat,En naturlig miljö
In the wild,i naturen
Increase,Öka
National symbol,Nationalsymbol
Occasionally,Av och till
Peaceful,Fredlig
Population,Befolkning
To prevent,Att förhindra
Rare,Ovanlig
A reserve,Ett reservat
Unfortunately,Dessvärre
A cape,En kappa
To conceal,Att dölja
A deal,En avtal
Icy,Frusen
A lake,En sjö
A meal,En måltid
Nonsense,Nonsens
Orange peel,Apelsinskal
Quite,Ganska
Roast veal,Stekt kalvkött
Royal,Kunglig
Surreal,"Surrealistisk, märklig"
Weasel,Vessla
To whack,Att smälla till
A wheel,Ett hjul
Wicked,(här:) Cool
Wonder,(här:) Förundran
Woolly,Av ull
To wrap,Att linda
